Sr. No.,Toilet ID,Assessor Address,Latitude,Longitude
171,VMC/008/FSS/171,bhatia petrol station bhandwada fatepura  vadodara,22.3125583,73.2114367
172,VMC/009/FSS/172,essay petrol  pump Hari Varasiya ring road vadodara,22.31455,73.2218967
173,VMC/009/FSS/173,"keshav petroleum,  khodiyarnagar char rasta,  b/s earth icon,  new vip road,  vadodara,  gujarat",22.3173151,73.2283398
174,VMC/010/FSS/174,"BHARAT PETROLIUM, NR. VADSAR BRIDGE, VADSAR KALALI ROAD, VADSAR, VADODARA, GUJARAT",22.2610939,73.1738952
175,VMC/009/FSS/175,"Harish Petrol Pump, Panigate Road, Panigate, Vadodar, Gujarat",22.2994733,73.2194617
176,VMC/012/FSS/176,"BHARAT PETROLIUM, OPP. NOVINO/PANASONIC CO., MAKARPURA ROAD, VADODARA, GUJARAT",22.252771,73.1978294
177,VMC/009/FSS/177,jay shakti petrol pump pani gate,22.3026534,73.2263874
178,VMC/006/FSS/178,Bharat petrolium opp.Harendra complex Mujmahuda,22.2861633,73.1696833
179,VMC/004/FSS/179,indian oil ranjit petrol pump Saraswati Complex char rastta Manjalpur Vadodara Gujrat,22.2718563,73.1907967
180,VMC/008/FSS/180,"nr. sardar estate,  ajwa road, vadodara, gujarat",22.3138454,73.2413166
181,VMC/012/FSS/181,"BHARAT PETROLIUM, NR. MANEJA CROSSING, MAKARPURA ROAD, VODODARA",22.2342927,73.1885286
182,VMC/009/FSS/182,reliance petrolpump,22.3033168,73.2299616
183,VMC/006/FSS/183,Bharat Petrolium opp.Gujrat tractor Vishwamitri,22.2856133,73.1746433
184,VMC/006/FSS/184,Bharat Petrolium opp.alaknanda complex Mujmahuda,22.2851633,73.1676717
185,VMC/005/FSS/185,"Essar petrol pump, pop apsara skyline, pratapnagar main road, vadodara.",22.2873267,73.2098367
186,VMC/008/FSS/186,Indian oil petrol pump,22.2915067,73.210645
187,VMC/008/FSS/187,HPCL PETROLIUM WATER TANK ROAD AMBALAL PARK KARELIBAUG VADODARA GUJARAT,22.3206,73.2038783
188,VMC/010/FSS/188,opposite Alembic school gorwa road vadodara,22.3220298,73.1671469
189,VMC/010/FSS/189,opposite Alembic vidhyalay gorwa road vadodara,22.3226285,73.1657143
190,VMC/007/FSS/190,bhart petrolium nh 8 nr chhani bus stop chhani vadodara .gujarat.,22.361825,73.1665667
191,VMC/006/FSS/191,"ESSAR Petrol pump, Near Satsang complex, Atladara- Padara Road, Vadodara, Gujarat",22.2707617,73.1441067
192,VMC/006/FSS/192,HP PETROL PUMP RANESHWER CHAR RASTA VASANA ROAD,22.2950311,73.1527907
193,VMC/003/FSS/193,"HP Petroleum, Dabhoi bypass, Juna Jakat Naka, Danteshwar, Vadodara, Gujarat.",22.2805138,73.222266
194,VMC/006/FSS/194,"HP Vaghadiya Petrol pump, opposite Transpec company, Kalali Vadsar Ring Road, Vadodara, Gujarat",22.2716967,73.1647783
195,VMC/007/FSS/195,shell petrol pump opp ramakakadairy chhani vadodara gujarat,22.3547267,73.1672367
196,VMC/011/FSS/196,"Essar Petrol Pump,",22.3039154,73.1505611
197,VMC/011/FSS/197,"F M Amin petrol pymp, Rajesh Tower Road Near- Nandalay Tempale gotri Vadodara Gujrat",22.314316,73.1509144
198,VMC/010/FSS/198,near maruti showroom gorwa road vadodara,22.3286482,73.1613302
199,VMC/011/FSS/199,"Shell  V Power ,opp- Kalpruvruksh Complex, Gotri Main Road,Vadodara, Gujrat",22.3134992,73.1443905
200,VMC/010/FSS/200,alkapururi  petrol  pump  apposite cenera bank  r c dart road Vadodra,22.30988,73.16795
201,VMC/010/FSS/201,near maruti show room gorwa vadodara,22.3266027,73.1623809
202,VMC/007/FSS/202,"indian oil petrol pump, Fatehgunj char rasta,  Fatehgunj, Vadodara,  Gujarat",22.3237417,73.1885791
203,VMC/004/FSS/203,"Shell Petroleum, opp. SRP 9, Makarpura Road, Vadodara, Gujarat.",22.2661617,73.2013947
204,VMC/008/FSS/204,"UTTKARSH PETROL PUMP,NEAR L&T CIRCLE,KARELIBAUG,VADODARA,GUJARAT",22.3236802,73.1978537
205,VMC/006/FSS/205,Bharat petrol  pump apposite  bank  of baroda alkapuri  vadodara,22.3108667,73.1715717
206,VMC/007/FSS/206,"s r patel petrol pump, opp aabha sic., nizampura main road, nr old century bike shiwroom, vadodara, gujarat.",22.3267502,73.1828636
207,VMC/003/FSS/207,"Bharat Petrol Pump, Waghodia-dabhoi ring road,Somatalav,Vadodara,Gujarat",22.2818891,73.2316085
208,VMC/006/FSS/208,"indian oil petrol pump,near atladara bridge,vadodara, Gujarat.",22.2776317,73.1608183
209,VMC/012/FSS/209,"Indian Oil, Opp. SRP Ground, Makarpura, Vadodara, Gujarat.",22.2603862,73.1998639
210,VMC/003/FSS/210,"bharatpetrol pump, kapurai road,soma talav,vadodara,gujarat",22.2779645,73.2334124
211,VMC/012/FSS/211,"essar petrolpump ,susen tarsali ring road, vadodara,gujarat",22.2570267,73.2075517
212,VMC/003/FSS/212,"Essar Petrol pump, waghodia-dabhoi ring road, Somatalav, Vadodara, Gujarat",22.2807139,73.2302297
213,VMC/008/FSS/213,"SHREE MARUTI PETROLEUM,NEAR GUJARAT SAMACHAR PRESS,BAHUCHRAJI ROAD,KARELIBAUG,VADODARA,GUJARAT",22.3102184,73.197941
214,VMC/008/FSS/214,"NATIONAL SERVICE STATION,BHARAT PETROL PUMP,NEAR PANCHMUKHI HANUMAN,KALAGHODA CIRCLE,SAYAJIGANJ ROAD,VADODARA,GUJARAT",22.3078782,73.1896459
215,VMC/008/FSS/215,"SHELL SELECT PETROL PUMP,NEAR SANGAM CHAR RASTA,FATEPURA HARNI MAIN ROAD,KARELIBAUGH,VADODARA,GUJARAT",22.3137789,73.2108118
216,VMC/007/FSS/216,"HP petol pump,  militry boys hostel char rasta, chhani road,  vadodara, gujarat.",22.3405292,73.1779039
217,VMC/008/FSS/217,h p petrol pump opposed. Shivji ki savari kirti mandir road vadodara,22.3052667,73.1924967
218,VMC/010/FSS/218,"HIGH TENTION ROAD, SUBHANPURA VADODARA",22.3212028,73.1548977
219,VMC/006/FSS/219,Bhart petroleum opposite Atlantis complex sarabhai road,22.3167117,73.1686183
220,VMC/010/FSS/220,"opposite nutan vidhyalay, high Tension road,subhanpura vadodara",22.3213485,73.1553584
221,VMC/010/FSS/221,Bharat petroleum  opposite  natubhai  cicrle  vadodara,22.3105883,73.15927
222,VMC/007/FSS/222,SARDAR GRAHAK SAHAKARI BHANDAR LTD.  BPCL PETROL PUMP NR SARDAR ESTATE AJWA RD VADODARA,22.31168,73.2387283
223,VMC/004/FSS/223,Bharat petrol pump opposed. ramkrushana blok near pratapnagar beige r.  v. session road vadodara,22.2832483,73.20733
224,VMC/005/FSS/224,Bharat petroleum c/o sonpal service center near pratap nagar bridge vadodara,22.2842333,73.2083333
225,VMC/005/FSS/225,HP petrol pump opposed ratnpuri apartment near dabhoiya police choki vadodara,22.29327,73.2085983
226,VMC/005/FSS/226,reliance petrol pump opposed jayratna building r v desai road vadodara,22.2924017,73.2035983
227,VMC/011/OTH/227,Diwalipura Garden,22.3011,73.1561
228,VMC/007/OTH/228,"Dr. Hedgevar Garden Sama Nizampura Road, Sama ",22.3392,73.1858
229,VMC/002/OTH/229,Nathiba nagar T.P-7 Bapunagar ,22.3220,73.2174
230,VMC/003/OTH/230,"Rewa Park Garden, Natraj nagar ",22.2897,73.2316
